id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,1,9,4,3,true
2,1,3,11,0,2,true
3,1,5,4,2,3,true
4,1,6,8,0,3,true
5,1,7,15,1,0,true
6,1,14,16,0,0,true
7,1,18,10,3,3,true
8,1,19,2,1,0,true
9,1,12,20,4,0,true
10,1,13,17,0,2,true
11,2,2,18,0,2,true
12,2,4,19,0,1,true
13,2,9,3,2,0,true
14,2,10,6,1,0,true
15,2,14,20,3,2,true
16,2,15,1,1,0,true
17,2,16,12,0,4,true
18,2,8,13,1,0,true
19,2,17,5,1,2,true
20,2,11,7,1,1,true
21,3,2,11,1,2,true
22,3,5,7,2,0,true
23,3,6,16,0,2,true
24,3,8,14,0,0,true
25,3,12,9,2,0,true
26,3,13,20,3,0,true
27,3,18,3,0,0,true
28,3,10,1,4,0,true
29,3,17,4,1,1,true
30,3,19,15,1,1,true
31,4,1,2,3,0,true
32,4,3,19,3,1,true
33,4,7,17,0,3,true
34,4,9,5,1,2,true
35,4,11,10,5,0,true
36,4,14,18,0,2,true
37,4,15,12,2,2,true
38,4,4,6,1,0,true
39,4,16,13,0,1,true
40,4,20,8,2,0,true
41,5,2,3,2,1,true
42,5,6,14,0,1,true
43,5,8,9,1,1,true
44,5,10,4,1,1,true
45,5,13,15,2,1,true
46,5,17,16,0,0,true
47,5,18,11,0,6,true
48,5,19,20,0,0,true
49,5,5,1,0,0,true
50,5,12,7,4,0,true
51,6,4,8,0,0,true
52,6,7,2,2,1,true
53,6,9,10,2,3,true
54,6,11,6,5,0,true
55,6,14,12,0,1,true
56,6,15,5,0,4,true
57,6,16,18,1,2,true
58,6,20,17,2,3,true
59,6,3,13,1,0,true
60,6,1,19,2,0,true
61,7,2,9,0,0,true
62,7,5,11,0,1,true
63,7,8,17,0,4,true
64,7,12,6,4,0,true
65,7,15,14,2,1,true
66,7,19,18,2,2,true
67,7,20,16,1,0,true
68,7,1,3,2,0,true
69,7,7,4,0,1,true
70,7,13,10,1,1,true
71,8,3,7,1,1,true
72,8,4,20,1,1,true
73,8,6,5,2,1,true
74,8,9,19,1,1,true
75,8,10,12,0,0,true
76,8,11,15,7,2,true
77,8,14,13,2,2,true
78,8,16,8,2,0,true
79,8,17,2,1,0,true
80,8,18,1,2,1,true
81,9,5,18,4,2,true
82,9,7,1,2,5,true
83,9,8,12,2,1,true
84,9,11,4,3,0,true
85,9,13,6,1,0,true
86,9,14,19,1,0,true
87,9,15,2,1,2,true
88,9,16,9,1,2,true
89,9,17,10,4,1,true
90,9,20,3,0,3,true
91,10,1,16,2,1,true
92,10,2,5,0,1,true
93,10,3,14,1,1,true
94,10,4,13,1,0,true
95,10,6,20,2,2,true
96,10,9,7,2,0,true
97,10,10,8,3,0,true
98,10,12,17,1,0,true
99,10,18,15,0,1,true
100,10,19,11,2,3,true
101,11,5,12,1,0,true
102,11,7,18,3,2,true
103,11,8,19,1,0,true
104,11,13,2,0,1,true
105,11,14,4,0,1,true
106,11,15,9,2,2,true
107,11,16,3,0,1,true
108,11,17,6,1,0,true
109,11,20,10,1,4,true
110,11,11,1,3,1,true
111,12,1,17,2,0,true
112,12,2,8,4,0,true
113,12,3,15,2,2,true
114,12,4,16,2,0,true
115,12,6,7,2,2,true
116,12,9,11,0,2,true
117,12,10,14,3,0,true
118,12,12,13,4,1,true
