id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,14,9,1,0,true
2,1,1,20,2,0,true
3,1,8,5,0,3,true
4,1,10,12,0,2,true
5,1,15,17,1,0,true
6,1,16,3,1,1,true
7,1,19,2,1,2,true
8,1,4,7,2,1,true
9,1,6,13,0,2,true
10,1,11,18,1,1,true
11,2,2,1,0,2,true
12,2,3,15,1,1,true
13,2,5,14,2,1,true
14,2,7,19,0,2,true
15,2,9,11,2,1,true
16,2,12,4,2,0,true
17,2,13,10,4,1,true
18,2,17,16,0,1,true
19,2,18,8,4,0,true
20,2,20,6,2,6,true
21,3,1,5,1,1,true
22,3,4,17,3,1,true
23,3,6,7,1,1,true
24,3,8,3,2,3,true
25,3,10,9,1,1,true
26,3,11,2,1,2,true
27,3,14,12,0,3,true
28,3,15,18,2,1,true
29,3,16,20,1,1,true
30,3,19,13,1,3,true
31,4,2,8,3,2,true
32,4,3,6,0,1,true
33,4,5,10,0,0,true
34,4,7,11,2,2,true
35,4,9,19,1,1,true
36,4,12,16,0,1,true
37,4,13,4,2,1,true
38,4,17,14,0,3,true
39,4,18,1,0,1,true
40,4,20,15,1,2,true
41,5,2,20,3,1,true
42,5,5,16,2,2,true
43,5,7,14,0,0,true
44,5,9,15,3,1,true
45,5,11,8,1,1,true
46,5,12,3,3,0,true
47,5,13,1,2,2,true
48,5,17,10,1,1,true
49,5,18,4,3,1,true
50,5,19,6,0,3,true
51,6,1,11,4,2,true
52,6,3,17,3,1,true
53,6,4,19,1,1,true
54,6,6,5,4,2,true
55,6,8,7,2,1,true
56,6,10,2,2,2,true
57,6,14,18,0,3,true
58,6,15,13,1,1,true
59,6,16,9,0,1,true
60,6,20,12,1,2,true
61,7,1,17,3,1,true
62,7,2,14,0,0,true
63,7,4,20,5,3,true
64,7,5,18,3,2,true
65,7,6,16,1,1,true
66,7,7,12,0,1,true
67,7,8,15,0,0,true
68,7,11,3,1,0,true
69,7,13,9,3,2,true
70,7,19,10,4,1,true
71,8,3,1,2,0,true
72,8,9,2,1,3,true
73,8,10,8,0,2,true
74,8,12,6,2,1,true
75,8,14,4,2,1,true
76,8,15,5,0,1,true
77,8,16,7,1,0,true
78,8,17,11,2,3,true
79,8,18,19,4,1,true
80,8,20,13,1,2,true
81,9,1,12,2,2,true
82,9,2,3,1,1,true
83,9,4,10,4,3,true
84,9,5,20,2,2,true
85,9,6,15,2,1,true
86,9,7,18,1,0,true
87,9,8,9,1,1,true
88,9,11,16,1,3,true
89,9,13,17,1,0,true
90,9,19,14,2,1,true
91,10,3,13,2,1,true
92,10,9,4,2,1,true
93,10,10,11,1,1,true
94,10,12,5,2,1,true
95,10,14,6,1,1,true
96,10,15,1,1,0,true
97,10,16,19,3,0,true
98,10,17,8,1,0,true
99,10,18,2,4,1,true
100,10,20,7,2,2,true
101,11,4,3,3,2,true
102,11,5,13,2,1,true
103,11,6,1,1,1,true
104,11,7,9,0,2,true
105,11,12,2,2,0,true
106,11,14,11,3,0,true
107,11,16,15,1,3,true
108,11,18,10,1,2,true
109,11,19,8,0,0,true
110,11,20,17,2,0,true
111,12,1,16,3,0,true
112,12,2,7,2,2,true
113,12,3,5,1,2,true
114,12,8,4,0,0,true
115,12,9,20,1,4,true
116,12,10,14,1,1,true
117,12,11,6,1,2,true
118,12,13,18,0,4,true
119,12,15,19,0,2,true
120,12,17,12,2,3,true
121,13,4,11,4,1,true
122,13,5,17,1,1,true
123,13,6,2,3,0,true
124,13,7,15,1,1,true
125,13,12,13,2,0,true
126,13,14,8,4,0,true
127,13,16,10,1,0,true
128,13,18,9,1,1,true
129,13,19,1,2,5,true
130,13,20,3,2,4,true
131,14,1,14,2,0,true
132,14,2,4,3,1,true
133,14,3,18,1,0,true
134,14,8,20,4,0,true
135,14,9,5,3,1,true
136,14,10,7,0,1,true
137,14,11,19,3,1,true
138,14,13,16,3,0,true
139,14,15,12,3,3,true
140,14,17,6,1,5,true
141,15,2,17,1,0,true
142,15,4,15,4,2,true
143,15,7,13,2,2,true
144,24,8,12,2,2,true
145,15,9,1,1,1,true
146,15,10,3,1,2,true
147,15,11,5,2,2,true
148,15,14,16,2,3,true
149,15,18,6,3,4,true
150,15,19,20,2,1,true
151,16,1,8,0,0,true
152,16,3,19,1,1,true
153,16,5,7,1,3,true
154,16,6,4,2,1,true
155,16,12,9,2,2,true
156,16,13,14,1,2,true
157,16,15,11,4,0,true
158,16,16,2,2,1,true
159,16,17,18,0,5,true
160,16,20,10,1,2,true
161,17,2,13,2,1,true
162,17,4,16,0,2,true
163,17,7,1,1,5,true
164,17,8,6,0,0,true
165,17,9,17,0,0,true
166,17,10,15,0,4,true
167,17,11,20,0,3,true
168,17,14,3,0,3,true
169,17,18,12,3,6,true
170,17,19,5,1,1,true
171,18,1,10,1,0,true
172,18,3,7,0,0,true
173,18,5,4,0,0,true
174,18,6,9,1,2,true
175,18,12,11,3,1,true
176,18,13,8,1,1,true
177,18,15,2,3,0,true
178,18,16,18,1,0,true
179,18,17,19,0,1,true
180,18,20,14,2,0,true
181,19,2,5,2,2,true
182,19,4,1,1,3,true
183,19,7,17,2,1,true
184,19,8,16,0,2,true
185,19,9,3,2,2,true
186,19,10,6,2,0,true
187,19,11,13,0,2,true
188,19,14,15,0,2,true
189,19,18,20,2,2,true
190,19,19,12,0,5,true
191,20,2,11,2,1,true
192,20,3,8,1,0,true
193,20,5,1,1,1,true
194,20,7,6,1,1,true
195,20,9,10,2,2,true
196,20,12,14,2,2,true
197,20,13,19,4,1,true
198,20,17,4,0,5,true
199,20,18,15,1,2,true
200,20,20,16,0,3,true
201,21,1,18,2,1,true
202,21,4,13,2,2,true
203,21,8,2,0,1,true
204,21,10,5,0,2,true
205,21,11,7,0,2,true
206,21,16,12,1,1,true
207,21,19,9,3,2,true
208,21,6,3,2,2,true
209,21,14,17,3,1,true
210,21,15,20,3,0,true
211,22,1,2,2,2,true
212,22,4,12,0,2,true
213,22,6,20,3,1,true
214,22,8,18,3,2,true
215,22,10,13,0,6,true
216,22,11,9,0,2,true
217,22,14,5,1,3,true
218,22,15,3,1,4,true
219,22,16,17,3,2,true
220,22,19,7,0,2,true
221,23,2,19,1,1,true
222,23,3,16,5,0,true
223,23,5,8,0,1,true
224,23,7,4,1,2,true
225,23,9,14,0,1,true
226,23,12,10,4,1,true
227,23,13,6,3,1,true
228,23,17,15,1,3,true
229,23,18,11,1,2,true
230,23,20,1,0,1,true
231,24,1,13,5,1,true
232,24,3,12,0,2,true
233,24,4,18,0,2,true
234,24,6,19,2,1,true
235,24,8,11,4,0,true
236,24,10,17,1,2,true
237,24,14,7,0,2,true
238,24,15,9,1,2,true
239,24,16,5,7,0,true
240,24,20,2,2,0,true
241,25,2,10,1,1,true
242,25,5,6,3,0,true
243,25,7,8,1,2,true
244,25,9,16,2,1,true
245,25,11,1,0,2,true
246,25,12,20,2,1,true
247,25,13,15,4,0,true
248,25,17,3,1,3,true
249,25,18,14,1,0,true
250,25,19,4,0,1,true
251,26,1,19,0,1,true
252,26,2,6,2,1,true
253,26,3,20,0,1,true
254,26,8,14,2,2,true
255,26,9,7,0,2,true
256,26,10,18,1,4,true
257,26,11,4,0,4,true
258,26,13,12,0,2,true
259,26,15,16,4,3,true
260,26,17,5,0,4,true
261,27,4,8,1,1,true
262,27,5,3,2,1,true
263,27,7,2,4,1,true
264,27,16,1,0,0,true
265,27,18,13,0,1,true
266,27,19,11,2,0,true
267,27,20,9,1,2,true
268,27,6,17,4,0,true
269,27,12,15,2,0,true
270,27,14,10,3,2,true
271,28,4,2,0,1,true
272,28,5,9,2,1,true
273,28,6,11,1,0,true
274,28,7,10,1,0,true
275,28,12,17,3,1,true
276,28,14,1,1,1,true
277,28,16,13,1,0,true
278,28,18,3,2,2,true
279,28,19,15,0,1,true
280,28,20,8,1,1,true
281,29,1,6,1,0,true
282,25,2,12,2,2,true
283,29,3,4,1,2,true
284,29,8,19,1,1,true
285,29,9,18,2,0,true
286,29,10,16,2,4,true
287,29,11,14,0,3,true
288,29,13,5,2,2,true
289,32,15,7,5,0,true
290,29,17,20,1,2,true
291,30,1,9,2,1,true
292,30,3,10,1,2,true
293,30,5,2,0,3,true
294,30,16,14,1,0,true
295,30,20,19,1,0,true
296,30,6,18,1,0,true
297,30,12,8,1,0,true
298,30,13,11,2,0,true
299,30,15,4,2,1,true
300,30,17,7,1,1,true
301,31,2,16,2,1,true
302,31,4,6,0,0,true
303,31,7,5,2,1,true
304,31,8,1,1,1,true
305,31,9,12,3,2,true
306,31,10,20,1,2,true
307,31,11,15,0,3,true
308,31,14,13,0,0,true
309,31,18,17,3,1,true
310,31,19,3,2,2,true
311,32,1,4,1,1,true
312,32,3,9,1,0,true
313,32,5,11,2,2,true
314,32,6,10,2,2,true
315,32,12,19,2,1,true
316,32,13,7,5,2,true
317,32,15,14,4,1,true
318,32,16,8,0,1,true
319,32,17,2,0,3,true
320,32,20,18,4,2,true
321,33,2,15,4,1,true
322,33,4,5,4,2,true
323,33,7,3,0,0,true
324,33,8,13,0,2,true
