id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,10,14,4,1,true
2,1,3,15,1,1,true
3,1,5,16,3,0,true
4,1,7,8,0,0,true
5,1,9,20,0,0,true
6,1,17,2,3,1,true
7,1,18,4,0,3,true
8,1,19,11,0,5,true
9,1,12,6,4,0,true
10,1,13,1,0,1,true
11,2,1,5,2,1,true
12,2,2,3,1,2,true
13,2,4,19,1,1,true
14,2,6,9,1,1,true
15,2,8,18,1,0,true
16,2,11,17,2,2,true
17,2,14,13,3,1,true
18,2,15,7,1,0,true
19,2,16,10,1,2,true
20,2,20,12,1,1,true
21,3,2,8,2,0,true
22,3,3,11,1,3,true
23,3,4,16,0,2,true
24,3,10,1,3,1,true
25,3,12,7,1,2,true
26,3,14,6,2,3,true
27,3,15,9,1,2,true
28,3,17,13,0,1,true
29,3,18,19,1,3,true
30,3,20,5,1,1,true
31,4,1,17,2,2,true
32,4,5,10,0,3,true
33,4,6,15,2,2,true
34,4,7,2,1,0,true
35,4,8,20,3,2,true
36,4,9,3,3,1,true
37,4,11,4,4,0,true
38,4,13,18,1,1,true
39,4,16,12,1,1,true
40,4,19,14,2,0,true
41,5,2,19,0,0,true
42,5,3,8,3,1,true
43,5,4,5,1,1,true
44,5,10,13,3,1,true
45,5,12,9,1,0,true
46,5,14,11,3,2,true
47,5,15,16,0,1,true
48,5,17,7,4,0,true
49,5,18,1,2,2,true
50,5,20,6,2,5,true
51,6,1,2,3,2,true
52,6,5,14,2,0,true
53,6,6,10,1,2,true
54,6,7,20,1,1,true
55,6,8,15,0,2,true
56,6,9,17,2,1,true
57,6,11,18,8,0,true
58,6,13,4,0,0,true
59,6,16,3,1,3,true
60,6,19,12,2,0,true
61,7,2,5,2,2,true
62,7,3,19,2,2,true
63,7,6,4,2,0,true
64,7,7,14,2,0,true
65,7,8,11,1,3,true
66,7,9,13,5,0,true
67,7,12,1,1,1,true
68,7,15,10,0,1,true
69,7,17,16,2,1,true
70,7,20,18,2,0,true
71,8,1,3,1,0,true
72,8,4,17,3,0,true
73,8,5,8,1,0,true
74,8,10,9,2,1,true
75,8,11,20,0,2,true
76,8,13,12,1,0,true
77,8,14,2,1,5,true
78,8,16,6,1,4,true
79,8,18,15,0,0,true
80,8,19,7,1,2,true
81,9,2,4,2,1,true
82,9,3,14,0,0,true
83,9,6,13,1,0,true
84,9,7,11,0,2,true
85,9,8,19,2,0,true
86,9,9,5,2,1,true
87,9,12,10,1,1,true
88,9,15,1,1,0,true
89,9,17,18,1,1,true
90,9,20,16,1,1,true
91,10,1,7,2,2,true
92,10,4,8,3,2,true
93,10,5,6,2,4,true
94,10,10,17,2,1,true
95,10,11,2,3,0,true
96,10,13,20,1,1,true
97,10,14,12,1,3,true
98,10,16,9,0,9,true
