id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,7,1,0,2,true
2,1,3,2,2,0,true
3,1,8,6,0,1,true
4,1,9,12,2,2,true
5,1,11,20,2,1,true
6,1,10,4,2,2,true
7,1,15,16,2,0,true
8,1,18,17,4,1,true
9,1,14,5,1,2,true
10,1,19,13,0,2,true
11,2,1,10,4,2,true
12,2,2,8,2,1,true
13,2,4,14,4,0,true
14,2,5,15,0,0,true
15,2,6,18,2,2,true
16,2,12,7,1,1,true
17,2,13,3,4,0,true
18,2,16,19,1,0,true
19,2,17,11,2,2,true
20,2,20,9,0,0,true
21,3,3,1,0,3,true
22,3,7,2,3,1,true
23,3,8,16,1,1,true
24,3,9,4,3,2,true
25,3,11,6,3,0,true
26,3,10,17,1,2,true
27,3,14,12,2,1,true
28,3,15,13,3,3,true
29,3,18,20,1,0,true
30,3,19,5,0,2,true
31,4,1,9,2,1,true
32,4,2,19,0,1,true
33,4,4,8,1,1,true
34,4,5,11,1,0,true
35,4,6,10,2,1,true
36,4,12,3,9,0,true
37,4,13,7,4,2,true
38,4,16,18,0,2,true
39,4,17,14,0,1,true
40,4,20,15,1,1,true
41,5,1,2,2,1,true
42,5,3,20,0,0,true
43,5,7,4,1,1,true
44,5,9,5,2,1,true
45,5,11,8,1,1,true
46,5,10,14,0,1,true
47,5,19,18,1,1,true
48,5,12,15,2,1,true
49,5,13,16,6,0,true
50,5,17,6,2,1,true
51,6,2,13,1,1,true
52,6,4,11,5,2,true
53,6,5,10,5,2,true
54,6,6,19,2,1,true
55,6,8,12,0,0,true
56,6,14,1,3,1,true
57,6,15,7,0,0,true
58,6,16,3,2,3,true
59,6,18,9,2,1,true
60,6,20,17,1,0,true
61,25,1,8,4,0,true
62,29,3,5,0,2,true
63,20,7,14,1,1,true
64,19,9,6,2,1,true
65,29,11,16,2,1,true
66,29,10,2,1,2,true
67,25,12,20,2,0,true
68,20,13,18,4,2,true
69,27,17,4,0,2,true
70,29,19,15,1,5,true
71,8,2,17,1,0,true
72,8,4,1,0,3,true
73,27,5,7,1,0,true
74,29,6,12,0,0,true
75,8,8,19,1,0,true
76,22,14,11,2,2,true
77,8,15,3,1,1,true
78,8,16,9,2,3,true
79,8,18,10,6,2,true
80,8,20,13,0,3,true
81,9,1,18,3,1,true
82,9,3,4,0,0,true
83,9,7,6,1,2,true
84,9,9,15,1,4,true
85,9,11,2,0,0,true
86,9,10,16,4,0,true
87,9,12,5,3,3,true
88,9,13,14,6,3,true
89,9,17,8,1,2,true
90,9,19,20,2,0,true
91,10,1,12,3,2,true
92,10,3,10,2,1,true
93,10,5,18,0,1,true
94,10,6,20,3,0,true
95,10,7,11,2,1,true
96,10,8,14,1,2,true
97,10,13,17,4,0,true
98,10,15,4,5,1,true
99,10,16,2,1,1,true
100,10,19,9,3,1,true
101,11,2,6,0,2,true
102,11,4,5,2,0,true
103,11,9,3,2,2,true
104,11,11,1,0,1,true
105,11,10,7,0,0,true
106,11,12,13,1,0,true
107,11,14,15,0,0,true
108,11,17,19,1,1,true
109,11,18,8,2,0,true
110,11,20,16,1,0,true
111,23,1,13,1,3,true
112,12,3,17,0,1,true
113,12,4,6,0,0,true
114,12,5,16,0,0,true
115,12,7,20,2,1,true
116,12,9,2,3,0,true
117,12,10,11,2,0,true
118,12,12,19,1,0,true
119,12,14,18,2,0,true
120,12,15,8,1,0,true
121,13,2,4,4,0,true
122,13,6,14,1,1,true
123,13,8,7,3,0,true
124,13,11,9,2,3,true
125,13,13,5,3,1,true
126,13,16,12,1,0,true
127,13,17,1,1,1,true
128,13,18,15,1,2,true
129,13,19,3,2,0,true
130,13,20,10,0,4,true
131,14,1,16,5,0,true
132,14,3,18,2,3,true
133,14,4,20,1,1,true
134,14,5,6,4,1,true
135,14,7,17,1,0,true
136,14,9,8,0,0,true
137,14,10,13,0,1,true
138,14,12,11,1,2,true
139,14,14,19,1,0,true
140,14,15,2,4,0,true
141,15,2,14,3,1,true
142,15,6,1,0,1,true
143,15,8,10,0,2,true
144,15,11,3,4,3,true
145,15,13,9,2,1,true
146,15,16,4,2,2,true
147,15,17,15,1,4,true
148,15,18,12,1,2,true
149,15,19,7,1,2,true
150,15,20,5,2,3,true
151,16,3,8,3,0,true
152,16,5,2,1,2,true
153,16,9,14,1,2,true
154,16,12,17,3,1,true
155,16,13,4,1,2,true
156,16,15,6,1,0,true
157,16,16,7,1,0,true
158,16,18,11,4,3,true
159,16,19,10,0,2,true
160,16,20,1,0,2,true
161,17,1,19,3,1,true
162,17,2,12,1,3,true
163,17,4,18,2,2,true
164,17,6,3,2,0,true
165,17,7,9,0,3,true
166,17,8,20,1,2,true
167,17,11,13,1,3,true
168,17,10,15,0,3,true
169,17,14,16,3,0,true
170,17,17,5,1,3,true
171,18,3,7,0,2,true
172,18,5,1,2,4,true
173,18,9,17,2,1,true
174,18,12,10,2,1,true
175,18,13,8,1,1,true
176,18,15,11,0,0,true
177,18,16,6,1,1,true
178,18,18,2,0,2,true
179,18,19,4,0,2,true
180,18,20,14,0,1,true
181,19,1,15,0,0,true
182,19,2,20,1,1,true
183,19,4,12,3,1,true
184,19,6,13,0,1,true
185,19,7,18,0,4,true
186,19,8,5,1,4,true
187,19,11,19,2,2,true
188,19,10,9,0,1,true
189,19,14,3,3,0,true
190,19,17,16,0,1,true
191,20,2,11,2,1,true
192,20,4,3,2,0,true
193,20,5,12,3,0,true
194,20,6,7,1,0,true
195,20,8,17,1,2,true
196,20,14,13,2,1,true
197,20,15,9,1,0,true
198,20,16,10,2,0,true
199,20,18,1,0,2,true
200,20,20,19,1,0,true
201,21,1,14,3,2,true
202,21,3,16,1,1,true
203,21,7,15,0,0,true
204,21,9,18,0,1,true
205,21,11,4,0,0,true
206,21,10,5,2,2,true
207,21,12,6,0,0,true
208,21,13,20,3,0,true
209,21,17,2,0,1,true
210,21,19,8,2,0,true
211,22,2,10,2,4,true
212,22,4,17,3,0,true
213,22,5,3,1,0,true
214,22,6,9,0,0,true
215,22,8,1,1,0,true
216,22,14,7,2,1,true
217,22,15,19,1,1,true
218,22,16,11,1,0,true
219,22,18,13,1,0,true
220,22,20,12,3,0,true
221,23,1,4,1,1,true
222,23,3,15,1,1,true
223,23,7,5,1,1,true
224,23,9,16,2,0,true
225,23,11,14,0,2,true
226,23,10,18,4,1,true
227,23,12,8,2,0,true
228,23,13,2,3,1,true
229,23,17,20,1,2,true
230,23,19,6,1,1,true
231,24,2,1,2,4,true
232,24,4,7,1,1,true
233,24,5,9,0,1,true
234,24,6,17,0,1,true
235,24,8,11,1,0,true
236,24,14,10,3,0,true
237,24,15,12,0,2,true
238,24,16,13,1,1,true
239,24,18,19,2,0,true
240,24,20,3,0,1,true
241,25,3,13,1,4,true
242,25,7,12,0,0,true
243,25,8,2,0,2,true
244,25,9,20,1,1,true
245,25,11,17,1,0,true
246,25,10,1,0,1,true
247,29,14,4,1,0,true
248,36,15,5,4,1,true
249,25,18,6,2,0,true
250,25,19,16,4,0,true
251,26,1,3,3,2,true
252,26,2,7,1,0,true
253,26,4,9,3,2,true
254,26,5,19,4,0,true
255,26,6,11,1,0,true
256,26,12,14,7,0,true
257,26,13,15,2,0,true
258,26,16,8,2,2,true
259,26,17,10,1,0,true
260,26,20,18,1,0,true
261,27,3,12,1,0,true
262,27,7,13,0,1,true
263,27,8,4,1,0,true
264,27,9,1,0,3,true
265,27,11,5,2,2,true
266,27,10,6,1,3,true
267,27,14,17,0,0,true
268,27,15,20,2,1,true
269,27,18,16,3,1,true
270,27,19,2,1,1,true
271,28,1,7,4,1,true
272,28,2,3,3,0,true
273,28,4,10,1,1,true
274,34,5,14,1,0,true
275,28,6,8,2,2,true
276,34,12,9,1,0,true
277,34,13,19,3,0,true
278,28,16,15,1,2,true
279,28,17,18,3,3,true
280,28,20,11,2,4,true
281,29,1,11,4,1,true
282,29,3,9,2,1,true
283,29,5,4,3,3,true
284,29,6,2,0,2,true
285,29,7,10,2,1,true
286,29,8,18,1,1,true
287,29,13,12,4,1,true
288,29,15,14,2,0,true
289,29,16,20,1,1,true
290,29,19,17,1,0,true
291,30,2,16,2,0,true
292,30,4,15,1,2,true
293,30,9,19,0,1,true
294,30,11,7,1,5,true
295,30,10,3,0,1,true
296,30,12,1,2,2,true
297,30,14,8,2,0,true
298,30,17,13,1,4,true
299,30,18,5,2,1,true
300,30,20,6,1,0,true
301,31,2,15,3,0,true
302,31,6,5,1,2,true
303,31,8,9,1,3,true
304,31,11,12,1,6,true
305,31,13,10,3,1,true
306,31,16,14,0,2,true
307,31,17,7,0,2,true
308,31,18,3,2,3,true
309,31,19,1,2,2,true
310,31,20,4,2,0,true
311,32,1,17,3,3,true
312,32,3,19,0,4,true
313,32,4,2,1,1,true
314,37,5,13,1,1,true
315,32,7,8,0,0,true
316,32,9,11,2,1,true
317,32,10,20,2,1,true
318,32,12,16,3,2,true
319,37,14,6,4,1,true
320,32,15,18,6,1,true
321,33,2,9,1,0,true
322,33,8,15,1,4,true
323,33,11,10,1,1,true
324,33,16,5,3,1,true
325,33,18,14,2,2,true
326,33,19,12,1,2,true
327,33,20,7,2,0,true
328,33,6,4,0,2,true
329,33,13,1,4,1,true
330,33,17,3,0,1,true
331,34,1,6,3,1,true
332,34,3,11,4,1,true
333,34,4,16,2,1,true
334,34,5,20,6,0,true
335,34,7,19,4,3,true
336,34,9,13,1,2,true
337,34,10,8,2,2,true
338,34,12,18,4,3,true
339,34,14,2,1,0,true
340,34,15,17,3,1,true
341,35,3,6,1,3,true
342,35,5,8,1,5,true
343,35,9,10,5,3,true
344,35,12,4,1,0,true
345,35,13,11,2,1,true
346,35,15,1,0,2,true
347,35,16,17,4,3,true
348,35,18,7,1,0,true
349,35,19,14,1,0,true
350,35,20,2,1,0,true
351,36,1,5,0,3,true
352,36,2,18,2,1,true
353,36,4,19,2,0,true
354,36,6,16,2,2,true
355,36,7,3,2,0,true
356,36,8,13,0,3,true
357,36,11,15,2,2,true
358,36,10,12,0,3,true
359,36,14,20,2,0,true
360,36,17,9,0,2,true
361,37,3,14,0,1,true
362,37,5,17,3,1,true
363,37,9,7,2,2,true
364,37,12,2,1,1,true
