fixture,element,code,team,was_home,position,round,minutes,starts,total_points,goals_scored,assists,own_goals,clean_sheets,goals_conceded,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution
1,596,432720,6,true,1,1,90,1,2,0,0,0,0,3,5,0,22,0,0,0,2.21,
1,168,435973,6,true,4,1,90,1,2,0,0,0,0,3,0,0,5,0.14,0.04,0.18,2.09,
1,182,441455,6,true,2,1,90,1,1,0,0,0,0,3,0,0,6,0,0.03,0.03,2.21,
1,179,461102,6,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,622,461567,6,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,167,478969,6,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,171,483391,6,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,605,487702,6,true,3,1,60,1,2,0,0,0,0,2,0,0,4,0.06,0.03,0.09,0.96,
1,157,487968,6,true,2,1,90,1,1,0,0,0,0,3,0,0,12,0,0.01,0.01,2.21,
1,594,492831,6,true,4,1,60,1,2,0,0,0,0,2,0,0,8,0.03,0,0.03,0.96,
1,169,493347,6,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,184,511783,6,true,3,1,30,0,-2,0,0,0,0,1,0,0,-6,0.04,0.06,0.1,1.37,
1,164,530873,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,156,578614,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,347,17601,13,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,369,58621,13,false,2,1,90,1,6,0,0,0,1,0,0,0,26,0,0.04,0.04,0.3,
1,349,61366,13,false,3,1,22,1,1,0,0,0,0,0,0,0,4,0.02,0.16,0.18,0.1,
1,361,88248,13,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,356,91651,13,false,3,1,67,0,3,0,0,0,1,0,0,0,18,0,0.24,0.24,0.21,
1,368,97299,13,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,359,103025,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,354,114283,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,346,121145,13,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,352,121160,13,false,1,1,90,1,6,0,0,0,1,0,1,0,27,0,0.01,0.01,0.3,
1,342,126184,13,false,2,1,78,1,7,0,0,0,1,0,0,1,32,0.31,0.01,0.32,0.23,
1,357,146941,13,false,2,1,11,0,1,0,0,0,0,0,0,0,4,0.12,0,0.12,0.07,
1,364,155405,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,367,164484,13,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,344,165809,13,false,3,1,90,1,3,0,0,0,1,0,0,0,11,0,0.03,0.03,0.3,
1,350,171314,13,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,353,209244,13,false,3,1,90,1,3,0,0,0,1,0,0,0,6,0.27,0.11,0.38,0.3,
1,341,211975,13,false,2,1,90,1,6,0,0,0,1,0,0,0,23,0,0.01,0.01,0.3,
1,351,220394,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,365,220566,13,false,3,1,90,1,13,1,1,0,1,0,0,2,42,0.5,0.17,0.67,0.3,
1,355,223094,13,false,4,1,79,1,13,2,0,0,1,0,0,3,56,0.6,0.05,0.65,0.23,
1,362,244851,13,false,3,1,10,0,1,0,0,0,0,0,0,0,1,0,0.02,0.02,0.07,
1,360,432714,13,false,3,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,
1,366,437468,13,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,343,461358,13,false,4,1,90,1,5,0,1,0,1,0,0,0,25,0.39,0.37,0.76,0.3,
1,348,463210,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,358,477064,13,false,2,1,78,1,6,0,0,0,1,0,0,0,25,0,0.01,0.01,0.23,
1,616,477424,13,false,2,1,11,0,1,0,0,0,0,0,0,0,7,0,0,0,0.07,
1,345,477555,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,363,482769,13,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,58822,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,30,84450,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,9,85955,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,18,115918,1,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,26,116216,1,true,3,1,17,0,1,0,0,0,0,1,0,0,8,0,0.01,0.01,0.88,
2,3,153256,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,7,156074,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,15,167199,1,true,3,1,90,1,2,0,0,0,0,1,0,0,18,0,0.06,0.06,1.18,
2,14,184029,1,true,3,1,90,1,2,0,0,0,0,1,0,0,11,0.11,0.09,0.2,1.18,
2,24,192895,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,16,195735,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,29,198869,1,true,2,1,90,1,1,0,0,0,0,1,0,0,8,0,0.03,0.03,1.18,
2,578,200641,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,540,204480,1,true,3,1,90,1,2,0,0,0,0,1,0,0,18,0.25,0.03,0.28,1.18,
2,13,205533,1,true,4,1,72,1,8,1,0,0,1,0,0,2,26,0.21,0.01,0.22,0.3,
2,8,205651,1,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,31,206325,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,22,209289,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,6,219847,1,true,3,1,90,1,2,0,0,0,0,1,0,0,11,0.05,0.24,0.29,1.18,
2,19,223340,1,true,3,1,90,1,10,1,0,0,0,1,0,3,37,0.19,0.17,0.36,1.18,
2,25,223723,1,true,2,1,40,0,1,0,0,0,0,1,0,0,9,0.03,0.02,0.05,0.9,
2,17,225321,1,true,1,1,90,1,2,0,0,0,0,1,1,0,10,0,0,0,1.18,
2,5,226597,1,true,2,1,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0.02,
2,1,232223,1,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,23,437626,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,21,437742,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,4,438098,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,10,440854,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,12,444145,1,true,3,1,85,1,5,0,1,0,0,1,0,0,23,0,0.22,0.22,1.16,
2,585,445122,1,true,2,1,49,1,0,0,0,0,0,0,0,0,3,0,0.01,0.01,0.28,
2,20,462424,1,true,2,1,90,1,5,0,1,0,0,1,0,0,22,0,0.03,0.03,1.18,
2,646,463748,1,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,11,479683,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,448,20066,16,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,435,48615,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,463,50232,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,451,55037,16,false,3,1,1,0,1,0,0,0,0,0,0,0,2,0.02,0,0.02,0.08,
2,441,56917,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,468,60689,16,false,4,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0.08,
2,436,80226,16,false,2,1,90,1,1,0,0,0,0,2,0,0,10,0,0,0,0.83,
2,446,89076,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,439,90585,16,false,2,1,90,1,1,0,0,0,0,2,0,0,14,0.21,0.03,0.24,0.83,
2,465,114241,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,445,116404,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,604,159506,16,false,2,1,71,1,0,0,0,0,0,2,0,0,9,0.02,0,0.02,0.38,
2,455,168281,16,false,2,1,90,1,1,0,0,0,0,2,0,0,8,0,0,0,0.83,
2,449,168547,16,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,444,173399,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,453,179519,16,false,3,1,89,1,1,0,0,0,0,2,0,0,-2,0,0,0,0.75,
2,462,185253,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,457,199170,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,466,201440,16,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,461,204822,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,470,204968,16,false,3,1,90,1,2,0,0,0,0,2,0,0,2,0,0.01,0.01,0.83,
2,469,208912,16,false,2,1,89,1,1,0,0,0,0,2,0,0,10,0,0,0,0.75,
2,460,209035,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,437,210156,16,false,4,1,19,0,7,1,0,0,0,0,0,2,26,0.57,0,0.57,0.46,
2,467,215136,16,false,2,1,18,0,1,0,0,0,0,0,0,0,4,0,0,0,0.46,
2,464,217331,16,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,452,221403,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,447,222531,16,false,3,1,90,1,2,0,0,0,0,2,0,0,8,0.07,0.21,0.28,0.83,
2,28,224068,16,false,1,1,90,1,2,0,0,0,0,2,5,0,20,0,0,0,0.83,
2,443,230251,16,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,454,242885,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,450,242898,16,false,3,1,79,1,2,0,0,0,0,2,0,0,0,0.28,0,0.28,0.43,
2,458,243345,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,456,244930,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,440,245830,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,459,437476,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,438,437753,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,378,449434,16,false,3,1,10,0,4,0,1,0,0,0,0,0,17,0,0.61,0.61,0.4,
2,636,450197,16,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,434,461682,16,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,442,513046,16,false,3,1,70,1,2,0,0,0,0,2,0,0,8,0,0.01,0.01,0.38,
2,637,547659,16,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,80,32259,3,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,84,54469,3,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,77,69752,3,true,1,1,90,1,2,0,0,0,0,1,1,0,11,0,0.01,0.01,1.07,
3,68,81012,3,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,64,111317,3,true,3,1,74,1,2,0,0,0,0,1,0,0,4,0.16,0.02,0.18,0.88,
3,73,128309,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,76,128340,3,true,4,1,23,0,1,0,0,0,0,0,0,0,2,0.04,0.05,0.09,0.23,
3,74,133845,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,85,154566,3,true,4,1,90,1,7,1,0,0,0,1,0,1,22,0.98,0.14,1.12,1.07,
3,66,155408,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,81,156685,3,true,3,1,90,1,2,0,0,0,0,1,0,0,13,0.03,0.04,0.07,1.07,
3,79,156687,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,65,158499,3,true,3,1,66,1,2,0,0,0,0,1,0,0,8,0.02,0.03,0.05,0.84,
3,63,168991,3,true,3,1,90,1,2,0,0,0,0,1,0,0,13,0.07,0.06,0.13,1.07,
3,86,201658,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,607,215531,3,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,83,221466,3,true,2,1,59,1,1,0,0,0,0,1,0,0,9,0,0.02,0.02,0.84,
3,72,222683,3,true,3,1,30,0,1,0,0,0,0,0,0,0,2,0,0.01,0.01,0.23,
3,75,223911,3,true,2,1,30,0,0,0,0,0,0,0,0,0,2,0,0.01,0.01,0.23,
3,88,229600,3,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,643,232980,3,true,2,1,74,1,2,0,0,0,0,1,0,0,17,0,0.07,0.07,0.88,
3,70,235530,3,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,67,244085,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,87,424044,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,82,437730,3,true,4,1,15,0,4,0,1,0,0,0,0,0,11,0.07,0.01,0.08,0.19,
3,62,444180,3,true,3,1,59,1,1,0,0,0,0,1,0,0,1,0,0,0,0.84,
3,71,444183,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,69,463981,3,true,2,1,15,0,1,0,0,0,0,0,0,0,1,0,0.01,0.01,0.19,
3,619,474772,3,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,89,477580,3,true,2,1,90,1,2,0,0,0,0,1,0,0,11,0,0.01,0.01,1.07,
3,644,503139,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,78,533463,3,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,595,544877,3,true,2,1,90,1,2,0,0,0,0,1,0,0,11,0,0.05,0.05,1.07,
3,533,37096,19,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,577,40669,19,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,530,55459,19,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,523,57531,19,false,4,1,77,1,1,0,0,0,1,0,0,0,5,0,0.01,0.01,0.43,
3,524,84182,19,false,1,1,90,1,3,0,0,0,0,1,4,0,16,0,0,0,1.37,
3,535,84939,19,false,4,1,12,0,1,0,0,0,0,1,0,0,1,0.12,0,0.12,0.94,
3,544,103192,19,false,2,1,90,1,2,0,0,0,0,1,0,0,10,0,0,0,1.37,
3,532,109533,19,false,2,1,90,1,1,0,0,0,0,1,0,0,8,0,0.25,0.25,1.37,
3,527,149519,19,false,3,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,
3,528,164555,19,false,2,1,90,1,2,0,0,0,0,1,0,0,12,0,0.16,0.16,1.37,
3,525,172841,19,false,3,1,90,1,2,0,0,0,0,1,0,0,7,0.08,0.27,0.35,1.37,
3,526,178186,19,false,3,1,90,1,9,1,0,0,0,1,0,3,29,0.22,0.35,0.57,1.37,
3,543,180151,19,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,541,195899,19,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,537,201057,19,false,2,1,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0.02,
3,522,210494,19,false,2,1,90,1,2,0,0,0,0,1,0,0,8,0,0,0,1.37,
3,642,213999,19,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,542,215439,19,false,3,1,90,1,7,0,1,0,0,1,0,2,24,0.37,0.01,0.38,1.37,
3,534,217593,19,false,3,1,85,1,2,0,0,0,0,1,0,0,8,0.09,0.09,0.18,1.35,
3,531,220585,19,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,529,222017,19,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,536,222018,19,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,539,224024,19,false,3,1,90,1,1,0,0,0,0,1,0,0,11,0.18,0.21,0.39,1.37,
3,647,447879,19,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,538,487837,19,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,142,15157,5,true,3,1,78,1,3,0,0,0,1,0,0,0,16,0,0.02,0.02,0.41,
4,138,39155,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,148,49262,5,true,1,1,90,1,2,0,0,0,0,1,2,0,18,0,0,0,1.45,
4,154,50175,5,true,4,1,77,1,2,0,0,0,1,0,0,0,5,0.31,0.1,0.41,0.41,
4,134,60307,5,true,3,1,90,1,2,0,0,0,0,1,0,0,18,0.49,0.47,0.96,1.45,
4,129,83299,5,true,2,1,90,1,2,0,0,0,0,1,0,0,10,0.12,0.59,0.71,1.45,
4,140,109345,5,true,3,1,73,1,9,1,0,0,1,0,0,1,26,0.55,0.02,0.57,0.41,
4,153,110735,5,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,151,111478,5,true,2,1,11,0,1,0,0,0,0,1,0,0,2,0,0,0,1.04,
4,128,168090,5,true,3,1,73,1,3,0,0,0,1,0,0,0,12,0.04,0.11,0.15,0.41,
4,131,204214,5,true,2,1,90,1,7,0,1,0,0,1,0,3,34,0.11,0.86,0.97,1.45,
4,155,204676,5,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,141,209288,5,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,606,223434,5,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,139,232792,5,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,127,233425,5,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,123,235382,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,147,240514,5,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,144,243505,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,133,243568,5,true,3,1,16,0,1,0,0,0,0,1,0,0,4,0.02,0.05,0.07,1.04,
4,146,441192,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,136,442229,5,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,149,450434,5,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,143,451340,5,true,3,1,90,1,5,0,1,0,0,1,0,1,26,0.02,0.62,0.64,1.45,
4,150,469142,5,true,2,1,90,1,2,0,0,0,0,1,0,0,19,0.02,0,0.02,1.45,
4,130,474120,5,true,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0.25,
4,135,475168,5,true,4,1,87,1,7,1,0,0,0,1,0,1,26,1.3,0.03,1.33,1.2,
4,137,484658,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,126,486672,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,132,487117,5,true,4,1,12,0,5,1,0,0,0,1,0,0,25,0.89,0.03,0.92,1.04,
4,152,489639,5,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,124,509416,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,621,532529,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,122,535818,5,true,3,1,16,0,6,1,0,0,0,1,0,0,20,0.25,0.01,0.26,1.04,
4,125,536916,5,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,322,49083,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,614,54738,12,false,1,1,90,1,3,0,0,0,0,4,8,1,26,0,0,0,4.1,
4,335,77818,12,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,317,82738,12,false,3,1,2,0,1,0,0,0,0,1,0,0,3,0,0,0,1.22,
4,630,88894,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,340,91046,12,false,4,1,2,0,1,0,0,0,0,1,0,0,7,0,0.37,0.37,1.22,
4,320,96784,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,582,104047,12,false,3,1,87,1,2,0,0,0,0,3,0,0,-2,0.26,0,0.26,2.88,
4,333,108411,12,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,575,108796,12,false,2,1,90,1,0,0,0,0,0,4,0,0,10,0,0.01,0.01,4.1,
4,323,113534,12,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,318,156658,12,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,326,156700,12,false,4,1,90,1,8,1,0,0,0,4,0,2,28,1.05,0.09,1.14,4.1,
4,334,165152,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,316,165183,12,false,2,1,90,1,0,0,0,0,0,4,0,0,10,0,0,0,4.1,
4,329,168035,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,314,174310,12,false,4,1,63,1,2,0,0,0,0,1,0,0,5,0,0.09,0.09,1.55,
4,327,174595,12,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,52,184704,12,false,3,1,90,1,2,0,0,0,0,4,0,0,9,0.01,0.01,0.02,4.1,
4,319,193195,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,330,199056,12,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,338,207722,12,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,315,208904,12,false,2,1,75,1,0,0,0,0,0,2,0,0,6,0,0,0,2.34,
4,586,222677,12,false,3,1,87,1,2,0,0,0,0,3,0,0,4,0,0.01,0.01,2.88,
4,339,223333,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,328,229164,12,false,4,1,14,0,1,0,0,0,0,2,0,0,3,0,0,0,1.76,
4,553,232351,12,false,2,1,90,1,0,0,0,0,0,4,0,0,16,0,0.22,0.22,4.1,
4,337,232477,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,631,242453,12,false,4,1,26,0,4,0,1,0,0,3,0,0,10,0.12,0,0.12,2.55,
4,336,242500,12,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,332,243532,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,321,244262,12,false,2,1,26,0,0,0,0,0,0,3,0,0,2,0,0.02,0.02,2.55,
4,324,422303,12,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,325,453537,12,false,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,602,476369,12,false,2,1,63,1,1,0,0,0,0,1,0,0,9,0.02,0.26,0.28,1.55,
4,331,490180,12,false,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,648,552030,12,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,579,11948,9,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,265,17761,9,true,2,1,90,1,2,0,0,0,0,1,0,0,8,0.04,0.03,0.07,1.5,
5,588,18892,9,true,2,1,90,1,2,0,0,0,0,1,0,0,10,0,0.1,0.1,1.5,
5,247,59949,9,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,254,80801,9,true,3,1,90,1,2,0,0,0,0,1,0,0,15,0.06,0.03,0.09,1.5,
5,257,106611,9,true,2,1,90,1,2,0,0,0,0,1,0,0,16,0.04,0.02,0.06,1.5,
5,248,108823,9,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,263,111234,9,true,1,1,90,1,2,0,0,0,0,1,1,0,10,0,0.01,0.01,1.5,
5,258,115382,9,true,4,1,71,1,2,0,0,0,1,0,0,0,-4,1.35,0,1.35,0.32,
5,244,120250,9,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,249,121599,9,true,3,1,90,1,2,0,0,0,0,1,0,0,7,0.56,0.1,0.66,1.5,
5,256,153133,9,true,3,1,90,1,2,0,0,0,0,1,0,0,9,0.32,0.28,0.6,1.5,
