fixture,element,code,team,was_home,position,round,minutes,starts,total_points,goals_scored,assists,own_goals,clean_sheets,goals_conceded,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution
1,163,40145,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,177,44683,6,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,170,60586,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,600,83283,6,true,3,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0.12,
1,178,103914,6,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,183,120202,6,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,181,133085,6,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,165,172567,6,true,3,1,90,1,2,0,0,0,0,3,0,0,12,0,0.01,0.01,2.21,
1,161,172782,6,true,3,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0.12,
1,608,179458,6,true,3,1,29,0,1,0,0,0,0,1,0,0,0,0.02,0.01,0.03,1.25,
1,159,183751,6,true,3,1,16,0,1,0,0,0,0,1,0,0,-1,0,0,0,1.2,
1,158,189776,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,176,192290,6,true,2,1,90,1,1,0,0,0,0,3,0,0,10,0,0.01,0.01,2.21,
1,475,207189,6,true,3,1,90,1,2,0,0,0,0,3,0,0,5,0,0,0,2.09,
1,173,216616,6,true,2,1,90,1,1,0,0,0,0,3,0,0,12,0,0,0,2.21,
1,175,220037,6,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,174,220598,6,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,180,226473,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,172,232917,6,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,160,241231,6,true,2,1,73,1,1,0,0,0,0,2,0,0,18,0,0,0,1.01,
1,162,250735,6,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,166,432711,6,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
