id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,6,13,0,3,true
2,1,1,16,2,1,true
3,1,3,19,1,1,true
4,1,5,12,4,1,true
5,1,9,10,0,1,true
6,1,15,2,5,1,true
7,1,17,8,0,1,true
8,1,4,18,2,2,true
9,1,7,11,1,1,true
10,1,14,20,1,0,true
11,2,2,9,4,0,true
12,2,8,1,0,1,true
13,2,10,4,0,3,true
14,2,11,3,3,1,true
15,7,12,6,1,2,true
16,2,13,15,1,0,true
17,2,16,17,2,1,true
18,2,18,14,2,0,true
19,2,19,7,3,1,true
20,2,20,5,1,4,true
21,3,1,10,2,2,true
22,3,3,18,0,2,true
23,3,4,8,1,1,true
24,3,5,19,1,3,true
25,3,6,2,1,3,true
26,3,7,12,3,0,true
27,3,9,20,0,1,true
28,3,14,16,3,2,true
29,3,15,11,1,2,true
30,3,17,13,1,2,true
31,4,1,14,3,1,true
32,4,4,3,2,2,true
33,4,5,15,3,1,true
34,4,6,18,2,5,true
35,4,7,16,0,1,true
36,4,8,20,3,2,true
37,4,11,2,3,0,true
38,4,12,19,1,2,true
39,4,13,10,5,1,true
40,4,17,9,2,2,true
41,5,2,8,3,1,true
42,5,3,7,0,0,true
43,5,9,1,0,1,true
44,5,10,12,1,0,true
45,5,14,5,1,3,true
46,5,15,4,1,0,true
47,5,16,6,1,1,true
48,5,18,17,2,1,true
49,5,19,13,1,3,true
50,5,20,11,1,3,true
51,6,1,18,2,2,true
52,6,4,9,1,3,true
53,6,5,3,3,1,true
54,6,6,14,0,1,true
55,6,7,2,0,1,true
56,6,8,10,0,0,true
57,6,11,19,3,1,true
58,6,12,20,1,1,true
59,6,13,16,2,0,true
60,6,17,15,0,8,true
61,7,2,5,6,1,true
62,7,3,1,0,4,true
63,7,9,12,1,2,true
64,7,10,7,0,2,true
65,7,14,8,0,1,true
66,7,15,6,2,0,true
67,7,16,4,1,1,true
68,7,18,11,2,1,true
69,7,19,17,2,0,true
70,7,20,13,2,1,true
71,8,1,13,1,0,true
72,8,5,11,2,2,true
73,8,6,7,1,4,true
74,8,8,16,0,0,true
75,8,9,3,3,0,true
76,8,10,17,3,1,true
77,8,12,18,0,1,true
78,8,14,4,2,1,true
79,8,19,15,2,2,true
80,8,20,2,1,1,true
81,9,2,19,4,1,true
82,9,3,20,1,2,true
83,9,4,6,3,0,true
84,9,7,1,2,2,true
85,9,11,9,2,0,true
86,9,13,5,2,1,true
87,9,15,8,4,0,true
88,9,16,12,2,2,true
89,9,17,14,1,2,true
90,9,18,10,2,0,true
91,10,1,17,5,0,true
92,10,2,12,3,1,true
93,10,3,6,2,1,true
94,10,5,10,1,1,true
95,10,7,4,0,2,true
96,10,8,18,1,2,true
97,10,11,16,3,0,true
98,10,14,13,0,3,true
99,10,19,9,0,1,true
100,10,20,15,2,2,true
101,11,4,19,3,2,true
102,11,6,8,0,2,true
103,11,9,5,1,1,true
104,11,10,14,0,1,true
105,11,12,11,1,1,true
106,11,13,3,6,1,true
107,11,15,1,1,0,true
108,11,16,2,2,0,true
109,11,17,20,2,1,true
110,11,18,7,1,4,true
111,12,1,6,3,1,true
112,12,2,10,3,1,true
113,12,3,15,2,0,true
114,12,5,17,1,1,true
115,12,7,13,4,4,true
116,12,8,9,2,3,true
117,12,11,4,3,0,true
118,12,14,12,1,0,true
119,12,19,16,3,2,true
120,12,20,18,2,1,true
121,13,4,1,0,1,true
122,13,6,19,1,2,true
123,13,9,14,0,3,true
124,13,10,20,3,2,true
125,13,12,8,2,1,true
126,13,13,11,1,1,true
127,13,15,7,4,1,true
128,13,16,5,2,3,true
129,13,17,3,1,3,true
130,13,18,2,1,2,true
131,14,1,20,2,1,true
132,14,3,2,2,2,true
133,14,4,12,3,1,true
134,14,6,17,5,0,true
135,14,7,5,3,2,true
136,14,11,10,4,3,true
137,14,13,18,3,3,true
138,14,15,14,1,0,true
139,14,16,9,0,1,true
140,14,19,8,1,1,true
141,15,2,13,1,0,true
142,15,5,4,2,1,true
143,15,8,3,0,2,true
144,15,9,15,3,0,true
145,15,10,16,5,0,true
146,15,12,1,3,4,true
147,15,17,11,0,2,true
148,15,18,19,1,2,true
149,15,20,6,1,0,true
150,15,14,7,2,1,true
151,16,2,1,1,0,true
152,16,5,6,1,1,true
153,16,8,11,1,2,true
154,16,9,7,2,0,true
155,16,10,19,5,0,true
156,16,12,13,1,2,true
157,16,14,3,0,3,true
158,16,17,4,1,0,true
159,16,18,15,4,1,true
160,16,20,16,1,1,true
161,17,1,5,2,0,true
162,28,3,12,4,3,true
163,17,4,2,1,2,true
164,17,6,9,0,2,true
165,17,7,17,2,0,true
166,17,11,14,0,0,true
167,17,13,8,2,2,true
168,17,15,10,3,0,true
169,17,16,18,0,2,true
170,17,19,20,3,0,true
171,18,2,17,1,1,true
172,18,8,5,1,1,true
173,18,10,6,0,2,true
174,18,11,1,1,1,true
175,18,12,15,1,0,true
176,25,13,4,1,0,true
177,18,16,3,2,3,true
178,18,18,9,2,1,true
179,18,19,14,2,0,true
180,18,20,7,2,1,true
181,19,1,19,0,2,true
182,19,3,10,3,0,true
183,19,4,20,1,4,true
184,19,5,18,4,2,true
185,19,6,11,0,2,true
186,19,7,8,2,1,true
187,19,9,13,1,3,true
188,19,14,2,3,2,true
189,19,15,16,1,3,true
190,19,17,12,2,3,true
191,20,2,6,3,2,true
192,20,8,4,3,1,true
193,20,10,1,2,1,true
194,20,11,15,4,2,true
195,20,12,7,2,3,true
196,20,13,17,2,0,true
197,20,16,14,2,1,true
198,20,18,3,3,1,true
199,20,19,5,0,0,true
200,20,20,9,3,0,true
201,21,1,8,5,0,true
202,21,3,11,0,4,true
203,21,4,16,3,2,true
204,21,5,20,0,0,true
205,21,6,12,1,1,true
206,21,7,10,1,0,true
207,21,9,2,0,0,true
208,21,14,18,2,2,true
209,21,15,13,2,3,true
210,21,17,19,2,2,true
211,22,2,15,1,3,true
212,22,8,17,3,2,true
213,22,10,9,0,0,true
214,22,12,5,4,0,true
215,22,16,1,1,2,true
216,22,18,4,3,2,true
217,22,19,3,1,1,true
218,22,20,14,3,4,true
219,22,11,7,4,1,true
220,22,13,6,3,1,true
221,23,1,11,3,1,true
222,23,3,16,1,1,true
223,23,4,13,1,3,true
224,23,5,8,4,1,true
225,23,6,10,2,2,true
