id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,12,4,4,2,true
2,1,2,15,0,0,true
3,1,6,10,1,1,true
4,1,16,5,3,1,true
5,1,17,19,3,0,true
6,1,18,3,3,0,true
7,1,20,13,0,4,true
8,1,7,8,0,0,true
9,1,14,1,0,1,true
10,1,11,9,1,0,true
11,2,1,11,5,0,true
12,2,4,20,1,0,true
13,2,5,2,1,0,true
14,2,3,17,2,0,true
15,2,8,16,1,1,true
16,2,9,6,2,0,true
17,2,10,14,1,1,true
18,2,13,18,0,2,true
19,2,15,12,2,3,true
20,2,19,7,1,5,true
21,3,2,8,0,3,true
22,3,6,13,2,1,true
23,3,7,10,2,0,true
24,3,11,15,0,0,true
25,3,12,1,1,0,true
26,3,14,3,3,2,true
27,3,16,19,0,3,true
28,3,17,5,2,1,true
29,3,18,4,0,1,true
30,3,20,9,2,3,true
31,4,1,16,3,0,true
32,4,4,6,2,1,true
33,4,5,7,2,2,true
34,4,3,12,0,1,true
35,4,8,17,0,0,true
36,4,9,2,0,0,true
37,4,10,11,1,0,true
38,4,13,14,3,0,true
39,4,15,20,1,0,true
40,4,19,18,0,3,true
41,5,1,13,1,1,true
42,5,4,15,0,0,true
43,5,6,18,2,2,true
44,5,3,16,1,1,true
45,5,10,5,3,1,true
46,5,12,9,2,1,true
47,5,14,7,2,1,true
48,5,17,2,1,1,true
49,5,19,8,1,2,true
50,5,20,11,1,3,true
51,6,2,10,3,1,true
52,6,5,14,3,1,true
53,6,7,6,1,3,true
54,6,8,12,2,1,true
55,6,9,19,1,1,true
56,6,11,4,2,2,true
57,6,13,3,5,1,true
58,6,15,1,1,2,true
59,6,16,17,0,1,true
60,6,18,20,1,1,true
61,7,1,19,2,0,true
62,7,2,3,2,1,true
63,7,4,10,3,1,true
64,7,5,13,0,1,true
65,7,7,12,2,1,true
66,7,9,8,2,1,true
67,7,11,18,1,2,true
68,7,14,17,2,0,true
69,7,15,16,2,0,true
70,7,20,6,1,1,true
71,8,6,15,2,1,true
72,8,3,11,2,0,true
73,8,8,4,3,3,true
74,8,10,1,0,1,true
75,8,12,14,1,2,true
76,8,13,9,2,0,true
77,8,16,7,0,3,true
78,8,17,20,2,0,true
79,8,18,2,1,2,true
80,8,19,5,0,2,true
81,9,1,8,1,0,true
82,9,2,13,1,0,true
83,9,4,16,2,0,true
84,9,5,12,3,2,true
85,9,7,17,1,2,true
86,9,9,18,0,3,true
87,9,11,19,2,1,true
88,9,14,6,4,2,true
89,9,15,10,2,1,true
90,9,20,3,2,3,true
91,10,6,11,3,0,true
92,10,3,1,0,2,true
93,10,8,5,2,0,true
94,10,10,20,3,0,true
95,10,12,2,2,0,true
96,10,13,4,3,1,true
97,10,16,14,2,2,true
98,10,17,9,1,1,true
99,10,18,7,0,1,true
100,10,19,15,3,1,true
101,11,2,4,4,0,true
102,11,5,15,3,1,true
103,11,7,20,3,0,true
104,11,8,6,0,0,true
105,11,9,10,2,0,true
106,11,13,12,3,0,true
107,11,16,11,3,1,true
108,11,17,1,2,2,true
109,11,18,14,2,2,true
110,11,19,3,3,2,true
111,12,1,18,4,1,true
112,12,4,19,2,2,true
113,12,6,5,2,1,true
114,12,3,7,0,2,true
115,12,10,17,1,0,true
116,12,11,2,1,2,true
117,12,12,16,0,3,true
118,12,14,9,0,1,true
119,12,15,13,2,1,true
120,12,20,8,0,2,true
121,13,2,20,1,0,true
122,13,5,3,3,1,true
123,13,7,1,1,1,true
124,13,8,14,1,2,true
125,13,9,15,1,4,true
126,13,13,11,3,2,true
127,13,16,6,0,2,true
128,13,17,4,3,2,true
129,13,18,10,1,2,true
130,13,19,12,0,2,true
131,14,1,5,2,0,true
132,14,4,9,0,1,true
133,14,6,2,3,4,true
134,14,3,8,0,1,true
135,14,10,13,4,5,true
136,14,11,7,3,1,true
137,14,12,17,1,1,true
138,14,14,19,1,1,true
139,14,15,18,2,2,true
140,14,20,16,0,1,true
141,15,2,1,2,1,true
142,15,4,7,0,0,true
143,15,6,19,1,1,true
144,15,9,16,3,0,true
145,15,10,8,1,2,true
146,15,11,12,3,3,true
147,15,13,17,3,0,true
148,15,15,3,2,1,true
149,15,18,5,2,0,true
150,15,20,14,1,4,true
151,16,1,20,2,1,true
152,16,5,11,1,1,true
153,16,3,10,2,3,true
154,16,7,9,2,0,true
155,16,8,13,0,3,true
156,16,12,6,2,0,true
157,16,14,4,4,4,true
158,16,16,18,3,0,true
159,16,17,15,1,0,true
160,16,19,2,2,3,true
161,17,2,14,2,1,true
162,17,4,3,1,1,true
163,17,6,17,0,0,true
164,17,9,1,0,1,true
165,17,10,16,1,0,true
166,17,11,8,4,1,true
167,17,13,19,3,0,true
168,17,15,7,2,2,true
169,17,18,12,1,2,true
170,17,20,5,0,2,true
171,18,1,6,2,1,true
172,18,5,4,4,1,true
173,18,3,9,0,0,true
174,18,7,2,1,2,true
175,18,8,18,0,1,true
176,18,12,20,2,1,true
177,18,14,15,1,0,true
178,18,16,13,1,2,true
179,18,17,11,1,1,true
180,18,19,10,0,1,true
181,19,1,2,4,1,true
182,19,5,18,0,0,true
183,19,3,15,1,3,true
184,19,7,4,2,2,true
185,19,8,10,1,1,true
186,19,12,11,0,0,true
187,19,14,20,1,1,true
188,19,16,9,0,2,true
189,19,17,13,0,0,true
190,19,19,6,2,2,true
191,20,2,16,3,1,true
192,20,4,1,2,3,true
193,20,6,3,2,0,true
194,20,9,5,2,4,true
195,20,10,12,2,2,true
196,20,11,14,1,1,true
197,20,13,7,1,1,true
198,20,15,8,2,0,true
199,20,18,17,1,1,true
200,20,20,19,3,0,true
201,21,1,12,0,0,true
202,21,4,18,3,2,true
203,21,5,17,3,0,true
204,21,3,14,2,2,true
205,21,8,2,0,0,true
206,21,9,20,1,1,true
207,21,10,7,2,1,true
208,21,13,6,1,1,true
209,21,15,11,4,3,true
210,21,19,16,1,2,true
211,22,2,9,0,1,true
212,22,6,4,1,1,true
213,22,7,5,2,0,true
214,22,11,10,1,0,true
215,22,12,3,1,1,true
216,22,14,13,2,0,true
217,22,16,1,0,0,true
218,22,17,8,2,1,true
219,22,18,19,1,2,true
220,22,20,15,0,0,true
221,23,1,14,2,3,true
222,23,4,12,3,2,true
223,23,5,16,0,2,true
224,23,3,18,2,2,true
225,23,8,7,1,3,true
226,23,9,11,1,1,true
227,23,10,6,2,1,true
228,23,13,20,2,0,true
229,23,15,2,0,2,true
230,23,19,17,3,1,true
231,24,2,5,0,1,true
232,24,6,9,1,1,true
233,24,7,19,3,2,true
234,24,11,1,0,4,true
235,24,12,15,4,1,true
236,24,14,10,3,2,true
237,24,16,8,1,1,true
238,24,17,3,3,0,true
239,24,18,13,2,2,true
240,24,20,4,0,2,true
241,25,1,17,3,0,true
242,25,4,2,1,1,true
243,25,6,8,0,1,true
244,25,3,19,0,2,true
245,25,10,9,1,2,true
246,25,11,16,3,1,true
247,25,12,13,1,2,true
248,25,14,18,2,0,true
