fixture,element,code,team,was_home,position,round,minutes,starts,total_points,goals_scored,assists,own_goals,clean_sheets,goals_conceded,saves,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution
1,2,109745,1,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,154561,1,true,1,1,90,1,6,0,0,0,1,0,1,0,24,0,0,0,0.2,0
1,15,184029,1,true,3,1,75,1,11,1,0,0,1,0,0,3,41,0.21,0.1,0.31,0.06,8
1,17,195384,1,true,3,1,14,0,1,0,0,0,0,0,0,0,5,0.14,0.02,0.16,0.15,2
1,10,198869,1,true,2,1,90,1,11,0,1,0,1,0,0,2,37,0.18,0.21,0.39,0.2,5
1,31,199798,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,200641,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,204480,1,true,3,1,67,1,3,0,0,0,1,0,0,0,10,0.07,0.08,0.15,0.06,6
1,27,205651,1,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,452,208706,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,219847,1,true,4,1,90,1,6,1,0,0,1,0,0,0,34,0.26,0.03,0.29,0.2,2
1,12,223340,1,true,3,1,67,1,9,1,0,0,1,0,0,1,36,0.64,0.08,0.72,0.06,7
1,25,224117,1,true,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,226597,1,true,2,1,90,1,5,0,0,0,1,0,0,0,21,0.05,0.01,0.06,0.2,4
1,14,232413,1,true,3,1,14,0,1,0,0,0,0,0,0,0,4,0.04,0,0.04,0.15,2
1,16,248857,1,true,3,1,22,0,1,0,0,0,0,0,0,0,8,0,0.04,0.04,0.15,2
1,3,437495,1,true,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,438098,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,557,439509,1,true,3,1,75,1,6,0,1,0,1,0,0,0,30,0.19,0.14,0.33,0.06,6
1,18,444145,1,true,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,445122,1,true,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,448104,1,true,2,1,9,0,1,0,0,0,0,0,0,0,3,0,0,0,0.15,0
